"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @AmericanAir: @sdboom99 We're always happy to share the skies with you!",FALSE,0,NA,2017-10-08 02:30:50,FALSE,NA,"916853363786108928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sdboom99",1,TRUE,FALSE,NA,NA
"2","If an @AmericanAir flight attendant is nice to you and kids it would be like the parting of the Red Sea. #theyreallyhatekids #flyalot",FALSE,0,NA,2017-10-08 02:30:05,FALSE,NA,"916853172869779456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","robbybaehr",0,FALSE,FALSE,NA,NA
"3","Everyone wants to be on hold with @AmericanAir for 30 mins on a Saturday night? Right? Thought so! ‚òéÔ∏èÌ†ΩÌ∏™Ì†ΩÌ∏¥",FALSE,0,NA,2017-10-08 02:29:58,FALSE,NA,"916853145594101761",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","miss_alk",0,FALSE,FALSE,NA,NA
"4","@AmericanAir Flight aa1828",FALSE,0,"verorb",2017-10-08 02:29:41,FALSE,"916851997764145152","916853074303516672","47261285","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","verorb",0,FALSE,FALSE,NA,NA
"5","I had to fly American Airlines today to get to my destination... 2 airplanes, both delayed. Little communication wi‚Ä¶ https://t.co/CouKBoguOR",FALSE,0,NA,2017-10-08 02:29:09,TRUE,NA,"916852939079274496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","verorb",0,FALSE,FALSE,NA,NA
"6","@twcau @bigmalx @RunwayGirl @SouthwestAir @AmericanAir @JillianMarisa @FlyinHP @SashasHandler That‚Äôs it. We‚Äôre gett‚Ä¶ https://t.co/Mi6eZWLcIp",FALSE,2,"twcau",2017-10-08 02:28:12,TRUE,"916851853941399553","916852698988908550","17439480","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","user47",0,FALSE,FALSE,NA,NA
"7","@AirlineReporter @AmericanAir Looks like there is no longer a full size bulkhead between F and Y. How are the table‚Ä¶ https://t.co/OkD210DEbM",FALSE,0,"AirlineReporter",2017-10-08 02:28:07,TRUE,"916795131365412869","916852679950819329","40113236","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brianvautour",0,FALSE,FALSE,NA,NA
"8","@AmericanAir ?",FALSE,0,"AmericanAir",2017-10-08 02:26:00,FALSE,"916423569000742912","916852144527028224","22536055","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","geockss",0,FALSE,FALSE,NA,NA
"9","@AmericanAir Friends. Shocked/surprised at absolutely zero engagement from you on any of our #fAAmilyDay / #737mAAx content today. Y‚Äôall ok?",FALSE,1,"AmericanAir",2017-10-08 02:25:35,FALSE,NA,"916852040407683072","22536055","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","user47",0,FALSE,FALSE,NA,NA
"10","@AmericanAir again another delay?? Same flight 2 weeks apart. Here I am in the same gate with an aircraft with a ma‚Ä¶ https://t.co/QqOPX9JwmK",FALSE,0,"AmericanAir",2017-10-08 02:25:25,TRUE,NA,"916851997764145152","22536055","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","verorb",0,FALSE,FALSE,NA,NA
"11","@bigmalx @user47 @RunwayGirl @SouthwestAir @AmericanAir @JillianMarisa @FlyinHP @SashasHandler This is total 1-up territory now Ì†ΩÌ∏Ç",FALSE,2,"bigmalx",2017-10-08 02:24:50,FALSE,"916849323496706048","916851853941399553","47891754","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","twcau",0,FALSE,FALSE,NA,NA
"12","Dear @BiscoffCookies, why are these cookies soooooo damn GOOD?!!! They ought to be against the law with coffee. Lol‚Ä¶ https://t.co/GSUGRjC7oQ",FALSE,0,NA,2017-10-08 02:21:26,TRUE,NA,"916850995661099009",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sdboom99",0,FALSE,FALSE,NA,NA
"13","@AmericanAir Just did. Thanks from coach...",FALSE,0,"AmericanAir",2017-10-08 02:20:20,FALSE,"916839712870060033","916850721726791680","22536055","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","alisonlee100",0,FALSE,FALSE,NA,NA
"14","RT @AirlineReporter: Some are bummed the @AmericanAir 737s are going w/ BYOD IFE. We aren‚Äôt. It‚Äôs the future. Note tablet/phone holder in s‚Ä¶",FALSE,0,NA,2017-10-08 02:19:26,FALSE,NA,"916850491879018497",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ernesta1959",15,TRUE,FALSE,NA,NA
"15","I'd like to retract my earlier statements about @AmericanAir . My travel issues were 90% my fault, if I'm honest. We're good now.",FALSE,0,NA,2017-10-08 02:18:30,FALSE,NA,"916850259787239424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sonnyminx",0,FALSE,FALSE,NA,NA
"16","@FlyinHP @bigmalx @user47 @twcau @SouthwestAir @AmericanAir @JillianMarisa @SashasHandler Oh my gosh, I love these photos!! How wonderful.",FALSE,3,"FlyinHP",2017-10-08 02:18:29,FALSE,"916849830911107072","916850253877469184","116394422","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RunwayGirl",0,FALSE,FALSE,NA,NA
"17","@peris_sergi @AmericanAir OneWorld does not have a gold tier.",FALSE,0,"peris_sergi",2017-10-08 02:17:47,FALSE,"916601744834080768","916850076487647234","2159546022","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FakeAmericanAir",0,FALSE,FALSE,NA,NA
"18","@DavidJDawg @AmericanAir @Barclaycard Nobody cares you‚Äôre a gold David. Nobody.",FALSE,0,"DavidJDawg",2017-10-08 02:17:08,FALSE,"916820379670339584","916849914990288897","909222650","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FakeAmericanAir",0,FALSE,FALSE,NA,NA
"19","Big thanks to @AmericanAir #Baggage Service at ORD who found my bags when I was stuck w/o flight and have to drive to Ohio.",FALSE,0,NA,2017-10-08 02:16:47,FALSE,NA,"916849826637205504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChristenVarley",0,FALSE,FALSE,NA,NA
"20","RT @afrosypaella: Attention all passengers‚Äîread my M√©xico City guide for D√≠a de los Muertos at 10,000 feet aboard all @AmericanAir flights‚Ä¶",FALSE,0,NA,2017-10-08 02:15:45,FALSE,NA,"916849566347071488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_raviee",37,TRUE,FALSE,NA,NA
"21","@user47 @twcau @RunwayGirl @SouthwestAir @AmericanAir @JillianMarisa Well @FlyinHP &amp; @SashasHandler took the inflight wedding",FALSE,3,"user47",2017-10-08 02:14:47,FALSE,"916846877055873024","916849323496706048","15906000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","bigmalx",0,FALSE,FALSE,NA,NA
"22","@AmericanAir A LAX2ATL redeye after 11p-12p Sun night or a flight available before 11a Mon am would be greatly appr‚Ä¶ https://t.co/tsmnWMn2IR",FALSE,0,"AmericanAir",2017-10-08 02:13:50,TRUE,"916845985980207105","916849085889511424","22536055","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RoParrish",0,FALSE,FALSE,NA,NA
"23","Gran jornada de fotos para la #RevistaNexos de @americanair con el gran @eddiepty.  #NeverNotWorking   Video‚Ä¶ https://t.co/HTArqcQgDd",FALSE,0,NA,2017-10-08 02:11:49,TRUE,NA,"916848575497293824",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iŒüS</a>","OmarCharcousse",0,FALSE,FALSE,NA,NA
"24","@Randall1921 @AmericanAir I'd take Guacamole over martini any day :-)",FALSE,0,"Randall1921",2017-10-08 02:11:10,FALSE,"916784753465896961","916848414243074049","503979566","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oliwalkerjones",0,FALSE,FALSE,NA,NA
"25","@AmericanAir Success! Thanks!",FALSE,0,"AmericanAir",2017-10-08 02:10:02,FALSE,"916845664428085248","916848129114177537","22536055","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lilsarg",0,FALSE,FALSE,NA,NA
"26","@rilaws @AmericanAir Thanks to @AmericanAir for great movie selection and for finally letting me off the plane.",FALSE,0,"rilaws",2017-10-08 02:09:36,FALSE,"916847850734194688","916848018774568960","106111147","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lilsarg",0,FALSE,FALSE,NA,NA
