"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@Delta wow delta what is it with the 105 dB of Music while sitting at gate. Need earplugs.",FALSE,0,"Delta",2017-10-08 02:29:46,FALSE,NA,"916853095363153920","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","trctim",0,FALSE,FALSE,NA,NA
"2","@Lakers @Delta We‚Äôre lakers Ì†æÌ¥óÌ†æÌ¥óÌ†æÌ¥ó",FALSE,0,"Lakers",2017-10-08 02:29:03,FALSE,"916773298456870913","916852911614726145","20346956","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kira01225",0,FALSE,FALSE,NA,NA
"3","@Delta Great thanks",FALSE,0,"Delta",2017-10-08 02:23:12,FALSE,"916850475663847424","916851442140565504","5920532","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LadyKimspeaks",0,FALSE,FALSE,NA,NA
"4","RT @WesDurham: If a @GTAthletics game breaks out on this @Delta flight back to ATL tonight, then @BrandonGaudin &amp; I will have you covered.‚Ä¶",FALSE,0,NA,2017-10-08 02:23:11,FALSE,NA,"916851435693801472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ronwrhodes",3,TRUE,FALSE,NA,NA
"5","RT @WesDurham: If a @GTAthletics game breaks out on this @delta flight to ATL tonight, @BrandonGaudin &amp; me will have it covered. https://t.‚Ä¶",FALSE,0,NA,2017-10-08 02:23:05,FALSE,NA,"916851412629323776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ronwrhodes",5,TRUE,FALSE,NA,NA
"6","@WesDurham @GTAthletics @Delta @BrandonGaudin You're gonna need a color guy....",FALSE,0,"WesDurham",2017-10-08 02:23:03,FALSE,"916847746308550656","916851403896905729","156798981","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gtmule",0,FALSE,FALSE,NA,NA
"7","@Delta laptop requires charging and there are no power points on your flight to heathrow from detroit? Ì†ΩÌ∏°",FALSE,0,"Delta",2017-10-08 02:21:39,FALSE,NA,"916851049599832064","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HuwMcConochie",0,FALSE,FALSE,NA,NA
"8","RT @WesDurham: If a @GTAthletics game breaks out on this @delta flight to ATL tonight, @BrandonGaudin &amp; me will have it covered. https://t.‚Ä¶",FALSE,0,NA,2017-10-08 02:21:31,FALSE,NA,"916851016364183552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","T_Braun78",5,TRUE,FALSE,NA,NA
"9","RT @WesDurham: If a @GTAthletics game breaks out on this @Delta flight back to ATL tonight, then @BrandonGaudin &amp; I will have you covered.‚Ä¶",FALSE,0,NA,2017-10-08 02:21:19,FALSE,NA,"916850966053433344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NotCoachJohnson",3,TRUE,FALSE,NA,NA
"10","@Delta - WHY should I follow Ed Bastian‚Äôs Call to UPGRADE to 1st CLASS?  Flight lead XXXXXe served ONE drink!  WHY? #753",FALSE,0,"Delta",2017-10-08 02:21:07,FALSE,NA,"916850917907075072","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JohnnySeliga",0,FALSE,FALSE,NA,NA
